success,spl,distance_to_goal,object_goal
0.0,0.0,1.6209797859191895,Find the <sofa>.
0.0,0.0,7.182775497436523,Find the <potted_plant>.
1.0,0.1818168175873517,0.10531400144100189,Find the <potted_plant>.
1.0,0.12873823143703494,0.042654894292354584,Find the <bed>.
0.0,0.0,7.259175777435303,Find the <toilet>.
0.0,0.0,2.2300186157226562,Find the <chair>.
0.0,0.0,0.9969063401222229,Find the <sofa>.
1.0,0.18603504842637483,0.032876599580049515,Find the <chair>.
0.0,0.0,4.84212589263916,Find the <chair>.
1.0,0.2667551150683121,0.044553931802511215,Find the <potted_plant>.
0.0,0.0,12.835273742675781,Find the <television_set>.
0.0,0.0,4.184281349182129,Find the <chair>.
0.0,0.0,3.1102778911590576,Find the <sofa>.
0.0,0.0,15.797281265258789,Find the <toilet>.
0.0,0.0,17.946617126464844,Find the <television_set>.
0.0,0.0,14.858726501464844,Find the <television_set>.
0.0,0.0,13.466095924377441,Find the <television_set>.
0.0,0.0,10.900041580200195,Find the <television_set>.
0.0,0.0,15.459061622619629,Find the <television_set>.
0.0,0.0,10.8678617477417,Find the <television_set>.
1.0,0.24760559298766655,0.14676550030708313,Find the <television_set>.
0.0,0.0,3.2006473541259766,Find the <television_set>.
0.0,0.0,2.910677909851074,Find the <chair>.
0.0,0.0,0.020940465852618217,Find the <toilet>.
0.0,0.0,14.004345893859863,Find the <chair>.
1.0,0.7330174657118276,0.1073414608836174,Find the <chair>.
1.0,0.5100376327236175,0.05038677155971527,Find the <sofa>.
1.0,0.22624359848901351,0.0407988540828228,Find the <sofa>.
0.0,0.0,5.635021686553955,Find the <toilet>.
0.0,0.0,3.675581932067871,Find the <toilet>.
0.0,0.0,11.666288375854492,Find the <sofa>.
0.0,0.0,0.15070731937885284,Find the <potted_plant>.
1.0,0.5884556959182354,0.10050877183675766,Find the <toilet>.
1.0,0.70586354059162,0.061045363545417786,Find the <sofa>.
0.0,0.0,0.15077173709869385,Find the <bed>.
0.0,0.0,9.104193687438965,Find the <chair>.
0.0,0.0,0.41735419631004333,Find the <potted_plant>.
1.0,0.7599866960111029,0.04546185955405235,Find the <sofa>.
0.0,0.0,3.746004104614258,Find the <chair>.
1.0,0.2625834166322755,0.05038142576813698,Find the <bed>.
1.0,0.18840096266637432,0.055747952312231064,Find the <sofa>.
0.0,0.0,22.969816207885742,Find the <television_set>.
0.0,0.0,5.107029438018799,Find the <potted_plant>.
0.0,0.0,11.76426887512207,Find the <television_set>.
1.0,0.5614289527991939,0.11071422696113586,Find the <sofa>.
1.0,0.7132171995304633,0.10646989941596985,Find the <chair>.
1.0,0.21691948656711843,0.06427104026079178,Find the <bed>.
0.0,0.0,4.3287835121154785,Find the <chair>.
1.0,0.5201174964703308,0.15241646766662598,Find the <sofa>.
0.0,0.0,3.6774179935455322,Find the <toilet>.
0.0,0.0,13.951324462890625,Find the <toilet>.
0.0,0.0,2.785033702850342,Find the <chair>.
0.0,0.0,10.845319747924805,Find the <bed>.
0.0,0.0,11.442901611328125,Find the <bed>.
1.0,0.21540671138168432,0.055645860731601715,Find the <toilet>.
1.0,0.1814508906754404,0.057208143174648285,Find the <potted_plant>.
0.0,0.0,3.1400206089019775,Find the <television_set>.
1.0,0.4530272168714732,0.05017455294728279,Find the <sofa>.
0.0,0.0,8.169137954711914,Find the <toilet>.
1.0,0.224379819599827,0.1503223478794098,Find the <sofa>.
1.0,0.13418408637322538,0.1535317599773407,Find the <bed>.
0.0,0.0,7.1971306800842285,Find the <bed>.
0.0,0.0,2.1295275688171387,Find the <bed>.
1.0,0.7643632765393948,0.16167107224464417,Find the <toilet>.
0.0,0.0,4.974693298339844,Find the <toilet>.
0.0,0.0,2.011143445968628,Find the <chair>.
1.0,0.09708075830277389,0.08073612302541733,Find the <bed>.
1.0,0.396453354360476,0.10139434784650803,Find the <sofa>.
0.0,0.0,4.519102573394775,Find the <potted_plant>.
1.0,0.2572019652819932,0.05820947512984276,Find the <bed>.
0.0,0.0,0.8125497698783875,Find the <potted_plant>.
1.0,0.07336237702298701,0.05161243677139282,Find the <chair>.
0.0,0.0,3.3673386573791504,Find the <potted_plant>.
1.0,0.7950251209074675,0.11666200309991837,Find the <potted_plant>.
1.0,0.27151963291324993,0.005673676263540983,Find the <chair>.
0.0,0.0,1.5493196249008179,Find the <bed>.
0.0,0.0,5.085506916046143,Find the <potted_plant>.
0.0,0.0,0.5686102509498596,Find the <television_set>.
0.0,0.0,3.298460006713867,Find the <chair>.
0.0,0.0,4.872628688812256,Find the <chair>.
1.0,0.1539734894306279,0.15541133284568787,Find the <sofa>.
1.0,0.07370972350831298,0.15448099374771118,Find the <chair>.
0.0,0.0,10.41193962097168,Find the <toilet>.
0.0,0.0,9.846728324890137,Find the <television_set>.
1.0,0.5630200478195257,0.10852053016424179,Find the <sofa>.
0.0,0.0,8.877419471740723,Find the <potted_plant>.
1.0,0.6479029004100079,0.10085514932870865,Find the <sofa>.
0.0,0.0,6.599116325378418,Find the <potted_plant>.
0.0,0.0,6.975606441497803,Find the <bed>.
0.0,0.0,1.2012909650802612,Find the <sofa>.
1.0,0.7362522028375835,0.1515963077545166,Find the <television_set>.
1.0,0.23442030880785997,0.0339449904859066,Find the <chair>.
0.0,0.0,4.09964656829834,Find the <sofa>.
0.0,0.0,2.491783380508423,Find the <toilet>.
0.0,0.0,5.146103382110596,Find the <chair>.
0.0,0.0,1.2044233083724976,Find the <television_set>.
1.0,0.19114679865156248,0.15709766745567322,Find the <chair>.
1.0,0.1829134488246061,0.15175530314445496,Find the <chair>.
1.0,0.7756668974890304,0.1635284423828125,Find the <sofa>.
0.0,0.0,3.56784725189209,Find the <chair>.
1.0,0.1958263562721697,0.003066644072532654,Find the <chair>.
1.0,0.3891306276550461,0.15700800716876984,Find the <bed>.
1.0,0.32005713462262814,0.1564452052116394,Find the <bed>.
0.0,0.0,2.0704240798950195,Find the <television_set>.
1.0,0.24468415872381008,0.16001716256141663,Find the <toilet>.
0.0,0.0,0.21926788985729218,Find the <toilet>.
1.0,0.20724988303641145,0.1558251678943634,Find the <television_set>.
0.0,0.0,12.305283546447754,Find the <sofa>.
1.0,0.1632888166424437,0.1228981614112854,Find the <potted_plant>.
0.0,0.0,0.6552237868309021,Find the <potted_plant>.
0.0,0.0,5.7838029861450195,Find the <chair>.
0.0,0.0,7.724023818969727,Find the <potted_plant>.
1.0,0.05270329337169265,0.10588547587394714,Find the <chair>.
1.0,0.5848316363791253,0.10384807735681534,Find the <bed>.
0.0,0.0,5.767851829528809,Find the <potted_plant>.
0.0,0.0,6.291294097900391,Find the <bed>.
1.0,0.8252042872050044,0.05104513838887215,Find the <television_set>.
0.0,0.0,1.3975508213043213,Find the <sofa>.
1.0,0.7367043995784242,0.06648422032594681,Find the <television_set>.
0.0,0.0,1.956104040145874,Find the <television_set>.
0.0,0.0,1.006887435913086,Find the <bed>.
0.0,0.0,6.189997673034668,Find the <television_set>.
0.0,0.0,7.051059722900391,Find the <bed>.
0.0,0.0,7.6203460693359375,Find the <television_set>.
0.0,0.0,12.08170223236084,Find the <chair>.
0.0,0.0,0.028086820617318153,Find the <bed>.
0.0,0.0,10.610363960266113,Find the <chair>.
0.0,0.0,16.016149520874023,Find the <television_set>.
1.0,0.5533023336192618,0.05362047255039215,Find the <chair>.
1.0,0.07760906236947497,0.032060883939266205,Find the <bed>.
1.0,0.06894495370095251,0.11918461322784424,Find the <potted_plant>.
0.0,0.0,8.73939323425293,Find the <bed>.
0.0,0.0,4.258370876312256,Find the <toilet>.
0.0,0.0,1.6754209995269775,Find the <potted_plant>.
0.0,0.0,3.3133065700531006,Find the <toilet>.
0.0,0.0,13.731021881103516,Find the <television_set>.
1.0,0.5207992684856713,0.03780881687998772,Find the <television_set>.
0.0,0.0,8.696009635925293,Find the <chair>.
0.0,0.0,8.08353328704834,Find the <sofa>.
0.0,0.0,4.443502426147461,Find the <chair>.
1.0,0.1633757640560565,0.15186884999275208,Find the <bed>.
0.0,0.0,15.019213676452637,Find the <sofa>.
0.0,0.0,3.814668655395508,Find the <toilet>.
1.0,0.13029101676240848,0.15180593729019165,Find the <bed>.
1.0,0.4638243691913245,0.028135333210229874,Find the <toilet>.
0.0,0.0,3.5917394161224365,Find the <chair>.
0.0,0.0,3.2876720428466797,Find the <chair>.
0.0,0.0,4.130500793457031,Find the <toilet>.
0.0,0.0,3.0038886070251465,Find the <potted_plant>.
0.0,0.0,12.047024726867676,Find the <television_set>.
